,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
7764,0.1,0.81,0.41,0.59,1.0,0.46,0.89,0.0,0.31,0.03,0.0,0.49,0.1,0.93,0.75,1.0,5
9210,0.58,1.0,0.03,0.99,0.0,0.64,0.57,0.65,0.71,0.7,1.0,0.3,0.7,0.0,0.13,0.03,9
9382,0.21,1.0,0.15,0.75,0.0,0.45,0.58,0.42,0.92,0.5,0.88,0.61,0.89,0.3,1.0,0.0,4
504,0.19,0.82,0.02,0.66,0.0,0.23,0.33,0.0,0.78,0.14,1.0,0.5,0.77,0.86,0.33,1.0,0
3793,0.05,0.68,0.22,1.0,0.47,0.75,0.35,0.35,0.08,0.01,0.0,0.02,0.5,0.04,1.0,0.0,2
7954,0.0,0.48,0.17,0.64,0.53,0.84,0.93,1.0,1.0,0.79,0.85,0.53,0.72,0.26,0.68,0.0,1
2795,0.0,0.68,0.47,0.82,0.89,1.0,1.0,0.9,0.81,0.67,0.58,0.45,0.34,0.22,0.13,0.0,1
1624,1.0,1.0,0.56,1.0,0.19,0.75,0.0,0.43,0.12,0.1,0.62,0.0,0.68,0.14,0.15,0.12,6
6568,0.67,0.96,0.2,1.0,0.21,0.59,0.41,0.2,0.11,0.0,0.0,0.35,0.48,0.65,1.0,0.93,8
643,0.19,0.81,0.55,1.0,0.78,0.8,0.42,0.61,0.88,0.43,1.0,0.13,0.53,0.0,0.0,0.06,3
3413,1.0,0.97,0.69,1.0,0.39,0.86,0.59,0.62,0.78,0.36,0.63,0.09,0.3,0.02,0.0,0.0,5
6045,0.0,0.45,0.36,0.69,0.68,0.93,0.88,1.0,0.84,0.75,0.84,0.5,0.84,0.24,1.0,0.0,1
304,0.15,0.77,0.42,1.0,0.76,0.87,0.41,0.62,0.93,0.56,1.0,0.29,0.58,0.07,0.0,0.0,3
7061,0.75,1.0,0.44,0.7,0.23,0.34,0.47,0.04,1.0,0.06,0.89,0.29,0.36,0.26,0.0,0.0,6
5093,0.27,0.84,0.58,1.0,0.76,0.68,0.57,0.34,0.16,0.13,0.0,0.09,0.5,0.05,1.0,0.0,2
7930,0.01,0.72,0.39,1.0,0.9,0.92,0.5,0.64,0.52,0.53,1.0,0.35,0.6,0.08,0.0,0.0,3
2356,0.48,1.0,0.39,0.64,0.0,0.31,0.89,0.31,1.0,0.59,0.77,0.85,0.71,0.42,0.63,0.0,4
4775,1.0,1.0,0.6,0.96,0.23,0.68,0.0,0.33,0.17,0.0,0.69,0.07,0.75,0.38,0.22,0.37,6
4868,0.21,1.0,0.04,0.74,0.0,0.3,0.32,0.0,0.81,0.2,1.0,0.59,0.76,0.96,0.25,0.9,0
2155,0.59,0.82,0.11,0.67,1.0,0.65,0.54,1.0,0.4,0.48,0.0,0.22,0.6,0.0,0.43,0.52,8
6745,0.27,0.94,0.55,0.57,0.61,0.18,0.15,0.0,0.0,0.28,0.05,0.7,0.46,0.93,1.0,1.0,5
8638,0.83,1.0,0.72,0.82,0.26,0.59,0.0,0.35,0.85,0.39,1.0,0.54,0.77,0.27,0.55,0.0,4
6573,0.34,0.87,0.66,1.0,0.8,0.78,0.77,0.53,1.0,0.29,0.72,0.06,0.34,0.0,0.0,0.13,3
2488,0.41,0.69,0.78,0.6,1.0,1.0,0.37,0.97,0.57,0.69,0.89,0.54,0.66,0.07,0.0,0.0,9
1904,0.7,1.0,0.17,0.99,0.0,0.74,0.53,0.72,0.78,0.7,1.0,0.38,0.84,0.08,0.32,0.0,9
5433,0.42,1.0,0.08,0.77,0.0,0.32,0.3,0.0,0.72,0.07,1.0,0.42,0.81,0.8,0.4,0.81,0
4816,0.5,0.97,0.72,0.68,1.0,1.0,0.42,0.86,0.93,0.72,0.89,0.48,0.7,0.07,0.0,0.0,9
885,0.0,0.9,0.6,1.0,1.0,0.83,0.72,0.47,0.4,0.13,0.04,0.0,0.25,0.29,0.92,0.29,7
8521,0.88,0.82,0.44,1.0,0.49,0.68,1.0,0.84,0.93,0.63,0.98,0.23,0.57,0.0,0.0,0.12,9
5288,0.54,0.87,0.59,1.0,0.26,0.72,0.0,0.43,0.28,0.18,1.0,0.3,0.96,0.3,0.8,0.0,4
5883,0.0,0.65,0.33,0.84,0.78,1.0,1.0,0.94,0.75,0.71,0.48,0.48,0.23,0.24,0.04,0.0,1
1488,0.94,0.96,0.47,1.0,0.06,0.75,0.16,0.48,0.8,0.41,1.0,0.07,0.44,0.0,0.0,0.26,5
4120,0.4,1.0,0.07,0.84,0.72,0.47,1.0,0.05,0.22,0.0,0.52,0.45,0.84,0.9,0.0,0.94,8
1971,0.97,1.0,0.51,1.0,0.14,0.68,0.0,0.32,0.28,0.0,1.0,0.13,0.73,0.32,0.1,0.1,6
7321,0.09,0.83,0.66,0.72,0.95,1.0,0.0,0.91,0.44,0.74,1.0,0.73,0.82,0.37,0.78,0.0,9
7053,1.0,1.0,0.53,0.87,0.24,0.59,0.02,0.31,0.0,0.0,0.5,0.04,0.62,0.3,0.12,0.32,6
2685,0.0,0.55,0.41,0.8,0.62,1.0,0.48,0.66,0.35,0.32,0.11,0.0,0.07,0.04,1.0,0.04,1
6038,0.24,1.0,0.09,0.84,0.0,0.6,0.41,0.43,1.0,0.53,0.76,0.47,0.72,0.23,0.8,0.0,4
5747,1.0,1.0,0.6,0.91,0.31,0.69,0.12,0.44,0.04,0.17,0.34,0.0,0.46,0.2,0.0,0.21,6
6566,0.07,1.0,0.0,0.96,0.01,0.72,0.07,0.48,0.38,0.38,0.66,0.36,0.7,0.14,1.0,0.0,4
2627,0.76,1.0,0.44,0.86,0.11,0.55,0.0,0.19,0.46,0.0,1.0,0.14,0.59,0.36,0.13,0.26,6
9447,0.38,0.86,0.66,1.0,1.0,0.94,0.7,0.74,0.71,0.39,0.7,0.07,0.35,0.0,0.0,0.03,3
5650,0.37,0.97,0.84,1.0,0.92,0.69,0.51,0.48,0.04,0.35,0.0,0.18,0.49,0.07,1.0,0.0,2
2724,1.0,1.0,0.63,0.85,0.33,0.62,0.08,0.37,0.0,0.07,0.39,0.0,0.6,0.25,0.25,0.41,6
308,0.17,0.99,0.39,0.72,0.94,0.42,0.65,0.0,0.16,0.25,0.0,0.74,0.27,1.0,1.0,0.99,5
7329,0.33,0.9,1.0,1.0,0.6,0.98,0.13,0.66,0.4,0.63,0.97,0.41,0.68,0.06,0.0,0.0,5
1766,0.64,0.97,0.32,0.67,0.19,0.26,0.0,0.0,0.3,0.36,0.67,0.67,1.0,1.0,0.47,0.88,8
8904,1.0,1.0,0.52,0.83,0.17,0.6,0.0,0.33,0.1,0.06,0.63,0.0,0.65,0.24,0.13,0.36,6
58,1.0,0.84,0.49,0.78,0.79,0.39,0.84,0.0,0.0,0.13,0.37,0.5,0.93,0.85,0.18,1.0,8
4873,0.63,0.88,0.87,0.8,0.71,1.0,0.71,0.78,1.0,0.61,0.99,0.21,0.52,0.0,0.0,0.12,9
5216,0.16,0.92,0.0,0.7,0.68,0.36,0.68,0.0,0.15,0.25,0.53,0.63,1.0,1.0,0.34,0.92,8
1085,0.49,0.85,0.49,0.61,0.71,0.25,0.27,0.0,0.08,0.37,0.0,0.79,0.42,0.99,1.0,1.0,5
994,0.0,0.7,0.33,1.0,1.0,0.94,1.0,0.59,0.75,0.25,0.47,0.0,0.69,0.34,0.14,0.61,8
7483,0.12,0.92,0.01,0.58,0.62,0.38,0.5,0.0,0.0,0.15,0.02,0.59,0.3,0.96,1.0,1.0,5
5643,0.11,1.0,0.08,0.93,0.0,0.6,0.17,0.33,0.6,0.41,1.0,0.57,0.85,0.32,0.76,0.0,4
6883,0.8,1.0,0.59,0.97,0.26,0.71,0.0,0.43,0.28,0.23,0.94,0.38,1.0,0.28,0.81,0.0,4
1007,0.0,0.85,0.51,1.0,0.81,0.71,0.76,0.35,0.58,0.0,0.31,0.25,0.35,0.55,1.0,0.61,7
5705,1.0,0.94,0.76,1.0,0.44,0.82,0.18,0.59,0.0,0.29,0.06,0.0,0.41,0.07,0.22,0.25,6
869,0.06,0.99,0.17,1.0,0.0,0.65,0.45,0.47,1.0,0.55,0.94,0.72,0.9,0.36,0.84,0.0,4
704,1.0,0.93,0.38,1.0,0.21,0.67,0.85,0.34,0.62,0.0,0.0,0.2,0.5,0.57,0.88,0.93,8
9782,0.49,0.74,0.56,1.0,0.76,0.75,0.5,0.37,0.14,0.06,0.0,0.08,0.5,0.09,1.0,0.0,2
7864,0.0,0.9,0.37,0.98,0.89,1.0,0.67,0.52,0.5,0.0,0.33,0.18,0.48,0.4,1.0,0.47,7
5613,0.0,0.25,0.26,0.48,0.66,0.73,1.0,1.0,0.96,0.93,0.72,0.62,0.48,0.31,0.31,0.0,1
8270,0.76,0.76,0.39,1.0,0.0,0.76,0.41,0.39,0.73,0.0,0.17,0.07,0.35,0.47,1.0,0.69,8
5002,1.0,0.82,0.61,1.0,0.5,0.68,0.72,0.31,0.38,0.0,0.0,0.16,0.31,0.49,0.78,0.76,8
4884,0.46,0.85,0.42,1.0,0.52,0.73,0.32,0.41,0.0,0.16,0.21,0.07,0.62,0.0,1.0,0.17,2
3232,0.41,0.96,0.91,1.0,0.46,0.94,0.05,0.63,0.42,0.48,1.0,0.32,0.63,0.05,0.0,0.0,5
7524,0.81,0.75,0.62,1.0,0.0,0.86,0.16,0.59,0.78,0.74,1.0,0.66,0.92,0.32,0.69,0.0,9
4811,1.0,1.0,0.59,0.8,0.31,0.55,0.16,0.26,0.31,0.0,0.82,0.05,0.47,0.18,0.0,0.04,6
1142,0.88,0.82,0.55,1.0,0.0,0.81,0.38,0.61,1.0,0.76,0.94,0.56,0.75,0.26,0.63,0.0,9
1144,0.0,0.78,0.23,1.0,0.62,0.79,0.68,0.4,0.59,0.0,0.31,0.18,0.49,0.39,1.0,0.44,7
4685,0.0,0.82,0.24,1.0,0.53,0.87,0.57,0.59,0.47,0.33,0.32,0.07,0.62,0.0,1.0,0.01,2
731,1.0,1.0,0.73,0.9,0.55,0.75,0.55,0.6,0.36,0.45,0.18,0.3,0.0,0.15,0.0,0.0,1
9093,0.0,0.56,0.76,0.49,1.0,0.11,0.31,0.0,0.45,0.39,0.95,0.73,0.71,1.0,0.11,0.74,8
3665,1.0,1.0,0.55,0.82,0.23,0.54,0.0,0.23,0.33,0.0,0.87,0.15,0.66,0.44,0.11,0.4,6
7502,0.46,0.88,0.78,1.0,0.79,0.67,0.65,0.47,1.0,0.32,0.75,0.07,0.37,0.0,0.0,0.05,3
2176,0.88,0.87,0.0,0.82,0.03,0.95,0.97,1.0,1.0,0.75,0.91,0.5,0.91,0.25,1.0,0.0,9
9677,0.0,0.94,0.48,1.0,0.85,0.8,0.78,0.41,0.75,0.0,0.96,0.01,1.0,0.32,0.45,0.37,7
9029,0.49,1.0,0.08,0.93,0.0,0.6,0.45,0.82,0.61,0.57,1.0,0.28,0.73,0.0,0.08,0.02,9
1478,0.0,0.77,0.26,1.0,0.51,0.85,0.36,0.49,0.13,0.19,0.26,0.0,0.63,0.02,1.0,0.07,2
7863,0.32,0.81,0.62,1.0,0.65,0.76,0.39,0.52,0.1,0.28,0.0,0.02,0.5,0.0,1.0,0.03,2
