,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
14,0.65,0.89,0.61,1.0,0.16,0.73,0.0,0.47,0.65,0.4,1.0,0.59,0.61,0.3,0.28,0.0,4
15,0.55,0.91,1.0,1.0,0.64,0.94,0.27,0.69,0.53,0.52,0.84,0.32,0.48,0.07,0.0,0.0,5
16,0.27,1.0,0.08,0.7,0.0,0.4,0.14,0.09,0.65,0.0,1.0,0.22,0.62,0.42,0.14,0.33,6
17,0.0,1.0,0.34,0.94,0.7,0.9,1.0,0.85,0.78,0.64,0.57,0.41,0.42,0.15,0.43,0.0,7
18,0.49,0.75,0.44,1.0,0.23,0.73,0.43,0.37,0.47,0.0,0.0,0.16,0.4,0.45,1.0,0.68,8
19,0.46,0.87,0.62,0.65,0.97,1.0,0.32,0.89,0.62,0.66,1.0,0.48,0.71,0.04,0.0,0.0,9
20,0.8,1.0,0.28,0.96,0.0,0.2,0.52,0.0,1.0,0.65,0.61,0.94,0.57,0.68,0.32,0.3,0
21,0.0,0.62,0.47,0.88,0.67,1.0,0.63,0.65,0.59,0.29,0.46,0.02,0.34,0.0,1.0,0.0,1
22,0.41,0.8,0.54,1.0,0.92,0.83,0.76,0.49,0.43,0.19,0.0,0.0,0.43,0.17,1.0,0.02,2
23,0.55,0.94,0.3,1.0,0.84,0.99,0.63,0.66,0.77,0.58,1.0,0.31,0.6,0.03,0.0,0.0,3
24,0.52,1.0,0.0,0.83,0.16,0.6,0.85,0.55,1.0,0.72,0.66,0.54,0.43,0.27,0.2,0.0,4
25,0.34,1.0,0.18,0.63,0.63,0.34,0.34,0.0,0.0,0.15,0.14,0.58,0.4,0.93,1.0,0.89,5
26,0.52,1.0,0.18,0.76,0.0,0.46,0.09,0.17,0.61,0.19,1.0,0.38,0.54,0.22,0.18,0.0,6
27,0.0,0.88,0.48,1.0,1.0,0.91,0.73,0.51,0.51,0.09,0.41,0.0,0.21,0.27,0.78,0.33,7
28,0.1,0.81,0.61,1.0,1.0,0.76,0.64,0.38,0.35,0.0,0.83,0.1,0.51,0.48,0.0,0.76,8
29,0.72,0.65,0.53,1.0,0.0,0.88,0.39,0.64,0.75,0.83,1.0,0.42,0.84,0.04,0.27,0.0,9
30,0.3,1.0,0.03,0.68,0.0,0.25,0.36,0.0,0.81,0.1,1.0,0.48,0.66,0.75,0.21,0.63,0
31,0.0,0.78,0.5,0.86,1.0,1.0,0.85,0.8,0.73,0.6,0.58,0.4,0.5,0.19,0.31,0.0,1
32,0.0,0.79,0.28,1.0,0.54,0.9,0.46,0.62,0.28,0.36,0.18,0.09,0.52,0.0,1.0,0.05,2
33,0.0,0.75,0.28,0.92,0.64,1.0,0.93,0.91,0.93,0.62,1.0,0.35,0.78,0.13,0.46,0.0,3
34,0.26,1.0,0.11,0.78,0.0,0.51,0.16,0.28,0.59,0.36,1.0,0.51,0.85,0.26,0.69,0.0,4
35,1.0,1.0,0.64,0.98,0.26,0.85,0.36,0.63,0.76,0.58,0.75,0.24,0.42,0.01,0.0,0.0,5
36,0.84,0.88,1.0,1.0,0.7,0.73,0.46,0.47,0.32,0.19,0.51,0.0,0.41,0.25,0.0,0.08,6
37,0.0,1.0,0.56,0.96,1.0,0.77,0.73,0.43,0.45,0.1,0.53,0.0,0.85,0.31,0.3,0.33,7
38,0.49,0.92,0.37,0.76,0.62,0.35,0.3,0.0,0.0,0.28,0.52,0.59,1.0,0.91,0.42,1.0,8
39,0.49,0.97,0.56,0.77,0.68,1.0,0.4,0.82,0.78,0.55,1.0,0.23,0.52,0.05,0.0,0.0,9
41,0.0,0.42,0.35,0.71,0.7,1.0,0.63,0.74,0.57,0.37,0.48,0.0,0.44,0.0,1.0,0.02,1
42,0.0,0.75,0.25,0.99,0.84,1.0,0.88,0.73,0.66,0.46,0.37,0.21,0.37,0.0,1.0,0.01,2
43,0.47,1.0,0.88,0.93,1.0,0.74,0.63,0.61,0.46,0.43,0.59,0.21,0.42,0.04,0.0,0.0,3
44,1.0,1.0,0.65,0.78,0.29,0.57,0.0,0.34,0.57,0.39,0.77,0.51,0.58,0.26,0.51,0.0,4
45,0.35,0.96,0.87,1.0,0.74,0.99,0.28,0.77,0.6,0.56,1.0,0.35,0.53,0.09,0.0,0.0,5
47,0.0,0.75,0.33,0.89,0.77,1.0,0.79,0.72,0.61,0.37,0.55,0.0,0.55,0.2,1.0,0.27,7
48,0.33,0.88,0.39,0.59,0.63,1.0,0.0,0.65,0.28,0.43,0.4,0.0,1.0,0.42,0.25,0.47,8
49,0.53,0.6,0.85,0.83,0.48,1.0,0.0,0.79,0.46,0.7,1.0,0.57,0.81,0.28,0.54,0.0,9
50,0.88,0.63,0.73,1.0,0.25,0.98,0.0,0.55,0.11,0.11,0.57,0.0,1.0,0.23,0.98,0.68,0
51,0.0,0.69,0.42,0.87,1.0,1.0,0.75,0.79,0.5,0.59,0.25,0.39,0.17,0.19,0.67,0.0,1
52,0.0,0.61,0.22,0.89,0.59,1.0,0.72,0.73,0.53,0.42,0.31,0.12,0.58,0.0,1.0,0.04,2
54,0.57,1.0,0.25,0.75,0.0,0.52,0.85,0.53,1.0,0.73,0.65,0.85,0.31,0.43,0.02,0.0,4
55,1.0,0.98,0.71,1.0,0.42,0.88,0.35,0.55,0.59,0.41,0.61,0.16,0.31,0.03,0.0,0.0,5
56,1.0,1.0,0.62,0.84,0.26,0.56,0.0,0.25,0.28,0.0,0.83,0.16,0.64,0.44,0.13,0.26,6
57,0.0,0.92,0.39,0.99,1.0,1.0,0.82,0.66,0.5,0.33,0.17,0.0,0.19,0.17,0.65,0.3,7
58,0.0,0.76,0.49,1.0,1.0,0.82,0.58,0.41,0.28,0.0,0.82,0.15,0.28,0.51,0.34,0.88,8
59,0.49,0.61,0.95,0.87,0.52,1.0,0.41,0.69,1.0,0.83,0.78,0.53,0.54,0.18,0.0,0.0,9
60,0.43,0.61,0.1,0.23,0.46,0.0,0.88,0.31,1.0,0.76,0.64,1.0,0.24,0.67,0.0,0.25,0
61,0.0,0.73,0.4,0.98,0.58,1.0,0.55,0.64,0.58,0.27,0.24,0.03,0.43,0.0,1.0,0.04,1
62,0.4,0.8,0.63,1.0,1.0,0.91,0.84,0.67,0.52,0.46,0.18,0.28,0.0,0.06,0.47,0.0,2
63,0.0,0.92,0.42,1.0,0.9,1.0,1.0,0.83,0.71,0.63,0.57,0.4,0.44,0.17,0.14,0.0,3
64,1.0,1.0,0.73,0.78,0.38,0.59,0.0,0.41,0.33,0.36,0.67,0.43,0.4,0.22,0.27,0.0,4
65,0.37,0.91,0.84,1.0,1.0,0.96,0.52,0.87,0.32,0.57,0.74,0.38,0.41,0.01,0.0,0.0,5
67,0.0,0.83,0.21,1.0,0.62,0.93,0.57,0.46,0.51,0.0,0.29,0.1,0.56,0.21,1.0,0.28,7
68,0.56,0.71,0.31,1.0,0.16,0.66,0.24,0.23,0.0,0.0,0.17,0.34,0.57,0.57,1.0,0.76,8
69,1.0,0.82,0.67,1.0,0.38,0.79,0.69,0.66,0.9,0.61,0.73,0.3,0.43,0.06,0.0,0.0,9
70,1.0,1.0,0.53,0.77,0.2,0.4,0.13,0.0,0.65,0.15,0.94,0.51,0.56,0.78,0.0,0.78,0
72,0.0,0.69,0.27,0.95,0.66,1.0,0.76,0.66,0.61,0.31,0.37,0.01,0.58,0.0,1.0,0.06,2
73,0.53,0.92,0.75,1.0,0.72,0.71,0.64,0.6,1.0,0.44,0.78,0.15,0.32,0.0,0.0,0.1,3
74,0.92,1.0,0.49,0.88,0.08,0.59,0.56,0.45,1.0,0.69,0.82,0.56,0.39,0.29,0.0,0.0,4
77,0.0,1.0,0.22,0.86,0.6,0.8,1.0,0.8,0.84,0.65,0.66,0.42,0.51,0.18,0.47,0.0,7
78,0.55,0.76,0.22,0.68,0.66,0.29,0.39,0.0,0.52,0.32,1.0,0.68,0.69,1.0,0.0,0.86,8
81,0.0,0.6,0.31,0.75,0.65,0.88,1.0,1.0,0.82,0.75,0.63,0.51,0.48,0.25,0.57,0.0,1
82,0.0,0.78,0.4,1.0,0.8,0.86,0.7,0.42,0.4,0.07,0.14,0.0,0.56,0.18,1.0,0.03,2
83,0.15,0.9,0.58,1.0,1.0,0.92,0.71,0.72,0.53,0.51,0.66,0.28,0.48,0.07,0.0,0.0,3
84,0.09,1.0,0.0,0.8,0.37,0.67,1.0,0.72,1.0,0.85,0.77,0.57,0.53,0.28,0.36,0.0,4
85,0.62,0.97,0.85,1.0,0.42,0.77,0.49,0.67,1.0,0.57,0.94,0.23,0.5,0.0,0.0,0.09,5
87,0.0,0.98,0.6,1.0,1.0,0.78,0.74,0.38,0.46,0.0,0.62,0.01,0.82,0.29,0.21,0.42,7
88,0.02,0.77,0.54,1.0,1.0,0.79,0.86,0.47,0.59,0.16,0.63,0.0,0.73,0.27,0.0,0.43,8
89,0.28,0.71,0.68,1.0,0.61,0.63,0.29,0.91,0.82,0.81,1.0,0.34,0.57,0.0,0.0,0.17,9
90,0.77,1.0,0.53,0.9,0.0,0.43,0.13,0.0,0.86,0.34,1.0,0.84,0.73,0.51,0.1,0.09,0
91,0.38,0.72,0.59,1.0,0.74,0.99,0.61,0.57,0.48,0.16,0.0,0.03,0.44,0.0,1.0,0.02,1
93,0.0,0.85,0.38,1.0,0.6,0.85,0.34,0.59,0.76,0.5,1.0,0.26,0.68,0.05,0.24,0.0,3
94,0.77,1.0,0.48,0.6,0.0,0.32,0.5,0.4,1.0,0.49,0.91,0.86,0.7,0.43,0.52,0.0,4
95,0.42,0.76,0.79,1.0,0.86,0.89,0.45,0.64,0.6,0.42,1.0,0.2,0.56,0.0,0.0,0.02,5
96,0.7,1.0,0.35,0.72,0.1,0.44,0.1,0.14,0.68,0.0,1.0,0.26,0.65,0.53,0.0,0.63,6
99,0.42,0.84,0.8,0.85,0.52,1.0,0.67,0.81,1.0,0.57,0.85,0.22,0.44,0.05,0.0,0.0,9
100,0.45,1.0,0.12,0.82,0.0,0.41,0.17,0.04,0.62,0.0,1.0,0.21,0.96,0.6,0.54,0.66,0
101,0.28,0.55,0.63,0.78,1.0,1.0,0.75,0.71,0.56,0.42,0.35,0.13,0.0,0.0,0.25,0.0,1
102,0.45,0.69,0.58,1.0,0.94,0.83,0.75,0.47,0.39,0.18,0.0,0.0,0.5,0.09,1.0,0.02,2
103,0.29,0.87,0.66,1.0,1.0,0.97,0.74,0.76,0.69,0.52,0.72,0.29,0.38,0.12,0.0,0.0,3
104,0.77,1.0,0.41,0.71,0.0,0.4,0.07,0.18,0.75,0.3,1.0,0.52,0.7,0.37,0.57,0.0,4
106,1.0,1.0,0.47,0.81,0.2,0.43,0.3,0.04,0.93,0.0,0.93,0.35,0.4,0.43,0.0,0.4,6
107,0.0,1.0,0.46,0.96,0.91,0.94,1.0,0.82,0.72,0.59,0.53,0.33,0.49,0.05,0.66,0.0,7
109,0.76,0.76,0.48,1.0,0.0,0.8,0.37,0.58,1.0,0.74,0.84,0.57,0.46,0.29,0.19,0.0,9
112,0.27,0.7,0.37,1.0,0.72,0.87,0.63,0.48,0.35,0.16,0.0,0.1,0.5,0.1,1.0,0.0,2
114,0.62,1.0,0.46,0.92,0.0,0.71,0.19,0.57,0.94,0.51,1.0,0.47,0.6,0.24,0.35,0.0,4
115,0.06,1.0,0.61,0.91,0.38,0.95,0.06,0.67,0.54,0.49,1.0,0.23,0.52,0.0,0.0,0.18,5
116,0.82,1.0,0.64,0.75,0.16,0.46,0.0,0.13,0.73,0.01,1.0,0.2,0.27,0.27,0.47,0.0,6
117,0.0,1.0,0.58,0.94,0.73,0.68,0.54,0.34,0.34,0.0,0.19,0.01,0.4,0.21,1.0,0.19,7
118,0.23,1.0,0.46,0.57,1.0,0.79,0.49,0.89,0.0,0.48,0.2,0.0,0.79,0.22,0.24,0.53,8
119,0.41,0.69,0.78,0.6,1.0,1.0,0.37,0.97,0.57,0.69,0.89,0.54,0.66,0.07,0.0,0.0,9
121,0.27,0.69,0.56,1.0,0.64,0.87,0.58,0.47,0.37,0.12,0.0,0.0,0.5,0.02,1.0,0.05,1
122,0.27,0.75,0.64,1.0,1.0,0.99,0.79,0.7,0.45,0.44,0.06,0.2,0.0,0.0,0.64,0.06,2
123,0.42,0.84,0.7,1.0,1.0,0.87,0.69,0.65,0.55,0.43,0.86,0.23,0.51,0.05,0.0,0.0,3
125,0.87,0.93,0.59,1.0,0.21,0.86,0.06,0.53,0.69,0.56,1.0,0.31,0.59,0.04,0.0,0.0,5
126,1.0,1.0,0.55,0.93,0.23,0.59,0.11,0.15,0.53,0.0,0.77,0.31,0.41,0.62,0.0,0.51,6
127,0.0,0.96,0.45,0.98,1.0,1.0,0.97,0.83,0.77,0.62,0.6,0.39,0.52,0.17,0.55,0.0,7
128,0.62,1.0,1.0,0.98,0.77,0.61,0.45,0.28,0.39,0.0,0.79,0.25,0.5,0.57,0.0,0.72,8
130,0.55,1.0,0.16,0.79,0.0,0.39,0.05,0.0,0.61,0.01,1.0,0.31,0.67,0.61,0.05,0.67,0
131,0.14,0.71,0.72,0.93,1.0,1.0,0.77,0.71,0.53,0.43,0.28,0.16,0.0,0.0,0.91,0.02,1
132,0.41,0.73,0.6,1.0,0.72,0.73,0.61,0.4,0.37,0.1,0.0,0.0,0.49,0.01,1.0,0.02,2
133,0.4,0.8,0.6,1.0,1.0,0.89,0.59,0.64,0.6,0.48,1.0,0.27,0.6,0.02,0.0,0.0,3
134,0.64,1.0,0.26,0.89,0.0,0.62,0.5,0.52,1.0,0.71,0.76,0.56,0.47,0.28,0.27,0.0,4
135,0.74,0.94,1.0,1.0,0.68,0.84,0.79,0.57,0.95,0.3,0.74,0.06,0.37,0.0,0.0,0.08,5
136,0.89,0.9,0.49,1.0,0.14,0.73,0.11,0.41,0.49,0.17,1.0,0.28,0.41,0.24,0.0,0.0,6
138,0.53,0.64,1.0,0.88,0.52,1.0,0.29,0.66,0.6,0.27,0.3,0.0,0.0,0.24,0.46,0.53,8
139,0.87,0.74,0.74,1.0,0.22,0.87,0.7,0.68,1.0,0.72,0.88,0.33,0.55,0.0,0.0,0.08,9
141,0.0,0.69,0.43,0.96,0.59,1.0,0.51,0.6,0.46,0.2,0.13,0.0,0.42,0.06,1.0,0.1,1
142,0.31,0.67,0.35,0.99,0.81,1.0,0.73,0.56,0.37,0.23,0.0,0.02,0.5,0.0,1.0,0.03,2
143,0.48,1.0,0.89,1.0,0.76,0.77,0.69,0.56,1.0,0.35,0.89,0.11,0.45,0.0,0.0,0.08,3
145,0.97,0.94,0.61,1.0,0.28,0.77,0.67,0.71,1.0,0.47,0.86,0.08,0.43,0.0,0.0,0.12,5
146,0.42,1.0,0.15,0.73,0.0,0.45,0.04,0.17,0.51,0.0,1.0,0.16,0.92,0.43,0.34,0.39,6
147,0.0,0.88,0.4,1.0,0.79,0.86,0.67,0.44,0.64,0.0,1.0,0.15,0.7,0.32,0.23,0.37,7
149,0.39,0.85,0.18,1.0,0.2,0.67,0.67,0.76,0.83,0.71,1.0,0.29,0.61,0.0,0.0,0.13,9
150,0.38,0.85,0.13,0.55,0.31,0.08,0.75,0.0,1.0,0.4,0.85,0.87,0.42,1.0,0.0,0.79,0
151,0.36,0.81,0.69,0.9,1.0,1.0,0.8,0.8,0.6,0.6,0.41,0.4,0.2,0.19,0.0,0.0,1
152,0.0,0.71,0.24,1.0,0.6,1.0,0.61,0.63,0.41,0.29,0.16,0.0,0.58,0.03,1.0,0.02,2
153,0.29,0.9,0.77,1.0,0.92,0.8,0.44,0.59,0.64,0.45,1.0,0.19,0.53,0.02,0.0,0.0,3
154,0.55,0.89,0.52,1.0,0.0,0.71,0.16,0.53,1.0,0.6,1.0,0.65,0.57,0.33,0.27,0.0,4
155,0.61,0.92,1.0,1.0,0.74,0.85,0.55,0.51,0.92,0.36,0.78,0.02,0.38,0.0,0.0,0.11,5
158,0.27,0.5,0.79,0.68,1.0,1.0,0.46,0.85,0.42,0.42,0.51,0.01,0.0,0.0,0.35,0.33,8
159,0.52,0.86,0.27,1.0,0.0,0.73,0.56,0.73,1.0,0.85,0.87,0.48,0.58,0.14,0.05,0.0,9
160,0.75,0.93,0.46,0.87,0.1,0.49,0.0,0.08,0.58,0.0,1.0,0.31,0.66,0.66,0.22,1.0,0
161,0.0,1.0,0.54,0.93,0.57,0.77,0.57,0.61,0.61,0.46,0.61,0.3,0.68,0.14,1.0,0.0,1
163,0.58,0.84,0.91,1.0,1.0,0.84,0.77,0.6,0.87,0.35,0.8,0.1,0.41,0.01,0.0,0.0,3
164,0.71,0.99,0.55,1.0,0.0,0.72,0.29,0.56,1.0,0.7,0.73,0.66,0.35,0.33,0.06,0.0,4
165,0.16,0.76,0.71,0.94,1.0,1.0,0.43,0.83,0.45,0.52,0.93,0.28,0.66,0.02,0.0,0.0,5
167,0.0,0.78,0.23,0.91,0.61,0.97,1.0,1.0,0.87,0.75,0.78,0.5,0.71,0.24,0.68,0.0,7
168,0.29,1.0,0.0,0.75,0.53,0.54,1.0,0.3,0.78,0.0,0.56,0.25,0.66,0.63,0.15,0.71,8
169,0.84,0.85,0.37,1.0,0.0,0.72,0.58,0.65,1.0,0.93,0.82,0.66,0.65,0.33,0.61,0.0,9
171,0.0,0.77,0.44,0.85,1.0,1.0,0.88,0.84,0.71,0.63,0.6,0.41,0.58,0.2,0.77,0.0,1
174,0.13,1.0,0.0,0.71,0.37,0.5,1.0,0.56,0.9,0.76,0.8,0.61,0.81,0.3,0.88,0.0,4
175,0.24,0.8,0.59,0.95,1.0,1.0,0.63,0.92,0.25,0.78,0.21,0.47,0.36,0.16,0.0,0.0,5
176,1.0,1.0,0.66,0.85,0.37,0.69,0.14,0.51,0.0,0.32,0.0,0.12,0.31,0.0,0.34,0.11,6
177,0.31,0.94,0.85,1.0,1.0,0.77,0.78,0.49,0.59,0.21,0.43,0.0,0.0,0.19,0.51,0.25,7
178,0.0,0.3,0.46,0.6,0.59,1.0,0.21,0.81,0.67,0.5,1.0,0.16,0.38,0.0,0.07,0.28,8
180,1.0,0.47,0.85,0.86,0.43,1.0,0.07,0.73,0.0,0.28,0.31,0.0,0.7,0.22,0.78,0.61,0
181,0.0,0.51,0.33,0.75,0.68,1.0,0.51,0.85,0.53,0.59,0.58,0.33,0.65,0.07,1.0,0.0,1
182,0.0,0.66,0.3,0.9,0.69,1.0,0.65,0.62,0.39,0.29,0.12,0.01,0.57,0.0,1.0,0.03,2
186,0.39,1.0,0.23,0.82,0.0,0.52,0.01,0.21,0.48,0.0,1.0,0.16,0.7,0.42,0.06,0.55,6
187,0.0,0.95,0.39,1.0,0.74,0.76,0.82,0.33,0.76,0.0,1.0,0.37,0.59,0.47,0.16,0.48,7
188,0.66,1.0,0.27,0.88,0.42,0.5,0.45,0.11,0.0,0.0,0.07,0.34,0.53,0.53,1.0,0.7,8
189,0.57,0.72,1.0,0.93,0.47,1.0,0.0,0.78,0.52,0.71,0.94,0.57,0.69,0.28,0.39,0.0,9
191,0.0,0.71,0.39,0.81,0.77,1.0,1.0,0.92,0.86,0.69,0.7,0.47,0.54,0.24,0.45,0.0,1
192,0.0,0.79,0.31,0.94,0.68,1.0,1.0,0.88,0.94,0.62,0.74,0.39,0.51,0.18,0.64,0.0,2
193,0.05,0.9,0.46,0.98,0.89,1.0,1.0,0.81,0.77,0.59,0.62,0.34,0.37,0.14,0.0,0.0,3
194,0.48,0.91,0.63,1.0,0.32,0.78,0.0,0.56,0.51,0.46,1.0,0.48,0.78,0.24,0.65,0.0,4
195,0.48,0.94,0.0,0.73,0.49,0.67,0.79,0.33,0.26,0.0,0.19,0.4,0.21,0.83,1.0,1.0,5
196,0.49,1.0,0.14,0.73,0.0,0.39,0.1,0.05,0.64,0.0,1.0,0.25,0.57,0.44,0.01,0.38,6
197,0.0,0.93,0.41,1.0,0.62,0.75,0.44,0.39,0.26,0.03,0.05,0.0,0.29,0.19,1.0,0.28,7
198,0.39,0.73,0.76,1.0,0.22,0.79,0.5,0.43,0.69,0.06,0.0,0.0,0.26,0.3,1.0,0.52,8
199,0.86,0.95,0.39,1.0,0.51,0.75,0.69,0.85,0.84,0.51,1.0,0.17,0.59,0.0,0.0,0.09,9
201,0.12,0.57,0.5,0.84,0.83,1.0,0.66,0.58,0.49,0.16,0.0,0.05,0.39,0.05,1.0,0.0,1
202,0.19,0.8,0.45,1.0,0.49,0.64,0.29,0.27,0.0,0.0,0.25,0.08,0.63,0.14,1.0,0.21,2
203,0.62,0.86,0.87,1.0,1.0,0.79,0.85,0.54,0.85,0.25,0.64,0.04,0.29,0.0,0.0,0.12,3
204,1.0,1.0,0.79,0.92,0.36,0.73,0.04,0.51,0.52,0.49,0.54,0.46,0.24,0.24,0.0,0.0,4
205,0.34,0.93,0.92,1.0,0.53,0.92,0.0,0.73,0.49,0.61,1.0,0.4,0.86,0.1,0.26,0.0,5
206,0.25,0.9,0.42,1.0,0.15,0.63,0.0,0.26,0.42,0.0,1.0,0.03,0.8,0.28,0.59,0.06,6
208,0.01,0.74,0.23,1.0,0.83,0.87,0.75,0.42,0.49,0.0,1.0,0.02,0.55,0.34,0.0,0.64,8
209,1.0,0.9,0.64,1.0,0.45,0.68,0.81,0.7,0.85,0.61,0.81,0.27,0.52,0.0,0.0,0.09,9
211,0.0,0.76,0.44,0.84,1.0,1.0,0.81,0.8,0.64,0.6,0.42,0.4,0.28,0.2,0.08,0.0,1
212,0.22,0.76,0.54,1.0,0.62,0.58,0.39,0.2,0.0,0.0,0.13,0.24,0.57,0.27,1.0,0.23,2
213,0.62,0.77,0.76,1.0,0.95,0.83,0.56,0.58,0.95,0.52,1.0,0.21,0.55,0.02,0.0,0.0,3
214,0.2,1.0,0.04,0.86,0.0,0.66,0.02,0.46,0.37,0.29,1.0,0.38,0.72,0.2,0.7,0.0,4
215,1.0,0.93,0.66,1.0,0.27,0.93,0.0,0.65,0.31,0.55,0.66,0.4,0.47,0.1,0.07,0.0,5
216,1.0,1.0,0.63,0.81,0.33,0.6,0.11,0.4,0.0,0.16,0.33,0.0,0.83,0.12,0.65,0.32,6
217,0.0,0.66,0.09,0.89,0.55,1.0,1.0,0.92,0.79,0.68,0.5,0.46,0.3,0.22,0.47,0.0,7
218,0.12,0.14,0.56,0.48,1.0,0.84,0.53,1.0,0.32,0.65,0.8,0.3,0.62,0.0,0.0,0.17,8
221,0.0,0.53,0.29,0.81,0.49,1.0,0.44,0.66,0.4,0.31,0.25,0.0,0.54,0.05,1.0,0.06,1
222,0.0,0.87,0.22,1.0,0.48,0.97,0.62,0.78,0.64,0.55,0.64,0.32,0.76,0.11,1.0,0.0,2
224,0.21,1.0,0.13,0.7,0.0,0.38,0.06,0.17,0.73,0.2,1.0,0.28,0.62,0.32,0.56,0.0,4
225,1.0,0.93,0.72,1.0,0.3,0.96,0.0,0.71,0.22,0.64,0.59,0.52,0.5,0.18,0.17,0.0,5
227,0.0,0.91,0.36,1.0,0.58,0.64,0.42,0.17,0.23,0.0,0.22,0.37,0.61,0.42,1.0,0.47,7
228,0.41,0.94,0.22,0.69,0.9,0.42,1.0,0.03,0.2,0.0,0.0,0.37,0.47,0.73,0.4,1.0,8
229,0.54,0.71,0.92,0.76,0.69,1.0,0.65,0.77,1.0,0.55,0.83,0.23,0.43,0.07,0.0,0.0,9
231,0.0,0.68,0.08,1.0,0.33,0.9,0.37,0.5,0.25,0.11,0.45,0.0,0.72,0.06,1.0,0.13,2
232,0.54,1.0,0.96,0.93,0.81,0.72,0.77,0.54,1.0,0.3,0.83,0.07,0.41,0.0,0.0,0.08,3
233,0.63,1.0,0.4,0.73,0.7,0.63,1.0,0.77,0.79,0.74,0.55,0.48,0.29,0.23,0.0,0.0,4
234,0.44,0.85,0.93,1.0,1.0,0.92,0.45,0.81,0.51,0.68,0.93,0.36,0.5,0.0,0.0,0.17,5
235,0.55,1.0,0.2,0.69,0.03,0.36,0.04,0.03,0.72,0.0,1.0,0.31,0.68,0.57,0.0,0.45,6
236,0.0,0.93,0.32,0.99,0.81,1.0,1.0,0.92,0.84,0.69,0.7,0.46,0.6,0.23,0.59,0.0,7
237,0.37,0.71,0.79,0.71,0.49,1.0,0.0,0.45,0.25,0.36,0.66,0.0,1.0,0.51,0.1,0.26,8
241,0.81,1.0,0.35,0.78,0.0,0.47,0.69,0.52,1.0,0.66,0.72,0.91,0.62,0.44,0.6,0.0,4
243,0.37,0.67,0.84,1.0,0.51,0.8,0.24,0.41,0.32,0.0,1.0,0.04,0.69,0.28,0.0,0.13,6
246,0.39,0.91,0.81,1.0,0.7,0.59,0.25,0.81,0.82,0.85,1.0,0.37,0.57,0.0,0.0,0.24,9
247,0.39,0.59,0.74,0.78,1.0,1.0,0.76,0.77,0.62,0.51,0.57,0.24,0.38,0.0,0.0,0.02,1
249,0.59,1.0,0.24,0.9,0.0,0.58,0.97,0.49,1.0,0.78,0.82,0.78,0.65,0.38,0.53,0.0,4
250,0.68,0.82,1.0,1.0,0.99,0.91,0.68,0.75,0.95,0.48,0.8,0.21,0.41,0.07,0.0,0.0,5
252,0.0,0.96,0.27,1.0,0.73,0.99,1.0,0.83,0.85,0.6,0.6,0.4,0.33,0.2,0.08,0.0,7
253,0.02,0.91,0.0,0.56,0.28,0.21,0.43,0.0,0.39,0.33,0.76,0.65,1.0,1.0,0.37,0.96,8
254,0.0,1.0,0.13,0.72,0.87,0.78,0.58,0.97,0.49,0.8,1.0,0.58,0.7,0.29,0.47,0.0,9
256,0.48,0.86,0.92,1.0,1.0,0.79,0.58,0.62,0.8,0.48,0.75,0.17,0.33,0.0,0.0,0.15,3
257,0.9,1.0,0.43,0.79,0.0,0.56,0.51,0.58,1.0,0.69,0.97,0.61,0.79,0.28,0.6,0.0,4
