a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
0.0,1.0,0.46,0.96,0.91,0.94,1.0,0.82,0.72,0.59,0.53,0.33,0.49,0.05,0.66,0.0,7
0.02,0.77,0.54,1.0,1.0,0.79,0.86,0.47,0.59,0.16,0.63,0.0,0.73,0.27,0.0,0.43,8
0.76,0.76,0.48,1.0,0.0,0.8,0.37,0.58,1.0,0.74,0.84,0.57,0.46,0.29,0.19,0.0,9
1.0,1.0,0.53,0.77,0.2,0.4,0.13,0.0,0.65,0.15,0.94,0.51,0.56,0.78,0.0,0.78,0
0.28,0.55,0.63,0.78,1.0,1.0,0.75,0.71,0.56,0.42,0.35,0.13,0.0,0.0,0.25,0.0,1
0.27,0.7,0.37,1.0,0.72,0.87,0.63,0.48,0.35,0.16,0.0,0.1,0.5,0.1,1.0,0.0,2
0.25,0.79,0.58,1.0,0.88,0.84,0.56,0.56,0.79,0.43,1.0,0.19,0.54,0.0,0.0,0.08,3
0.62,1.0,0.46,0.92,0.0,0.71,0.19,0.57,0.94,0.51,1.0,0.47,0.6,0.24,0.35,0.0,4
0.06,1.0,0.61,0.91,0.38,0.95,0.06,0.67,0.54,0.49,1.0,0.23,0.52,0.0,0.0,0.18,5
0.82,1.0,0.64,0.75,0.16,0.46,0.0,0.13,0.73,0.01,1.0,0.2,0.27,0.27,0.47,0.0,6
0.0,1.0,0.58,0.94,0.73,0.68,0.54,0.34,0.34,0.0,0.19,0.01,0.4,0.21,1.0,0.19,7
0.23,1.0,0.46,0.57,1.0,0.79,0.49,0.89,0.0,0.48,0.2,0.0,0.79,0.22,0.24,0.53,8
0.41,0.69,0.78,0.6,1.0,1.0,0.37,0.97,0.57,0.69,0.89,0.54,0.66,0.07,0.0,0.0,9
0.77,1.0,0.53,0.9,0.0,0.43,0.13,0.0,0.86,0.34,1.0,0.84,0.73,0.51,0.1,0.09,0
0.27,0.69,0.56,1.0,0.64,0.87,0.58,0.47,0.37,0.12,0.0,0.0,0.5,0.02,1.0,0.05,1
0.27,0.75,0.64,1.0,1.0,0.99,0.79,0.7,0.45,0.44,0.06,0.2,0.0,0.0,0.64,0.06,2
0.42,0.84,0.7,1.0,1.0,0.87,0.69,0.65,0.55,0.43,0.86,0.23,0.51,0.05,0.0,0.0,3
0.92,1.0,0.49,0.88,0.08,0.59,0.56,0.45,1.0,0.69,0.82,0.56,0.39,0.29,0.0,0.0,4
0.87,0.93,0.59,1.0,0.21,0.86,0.06,0.53,0.69,0.56,1.0,0.31,0.59,0.04,0.0,0.0,5
1.0,1.0,0.55,0.93,0.23,0.59,0.11,0.15,0.53,0.0,0.77,0.31,0.41,0.62,0.0,0.51,6
0.0,0.96,0.45,0.98,1.0,1.0,0.97,0.83,0.77,0.62,0.6,0.39,0.52,0.17,0.55,0.0,7
0.62,1.0,1.0,0.98,0.77,0.61,0.45,0.28,0.39,0.0,0.79,0.25,0.5,0.57,0.0,0.72,8
0.76,0.76,0.48,1.0,0.0,0.8,0.37,0.58,1.0,0.74,0.84,0.57,0.46,0.29,0.19,0.0,9
0.55,1.0,0.16,0.79,0.0,0.39,0.05,0.0,0.61,0.01,1.0,0.31,0.67,0.61,0.05,0.67,0
0.14,0.71,0.72,0.93,1.0,1.0,0.77,0.71,0.53,0.43,0.28,0.16,0.0,0.0,0.91,0.02,1
0.41,0.73,0.6,1.0,0.72,0.73,0.61,0.4,0.37,0.1,0.0,0.0,0.49,0.01,1.0,0.02,2
0.4,0.8,0.6,1.0,1.0,0.89,0.59,0.64,0.6,0.48,1.0,0.27,0.6,0.02,0.0,0.0,3
0.64,1.0,0.26,0.89,0.0,0.62,0.5,0.52,1.0,0.71,0.76,0.56,0.47,0.28,0.27,0.0,4
0.74,0.94,1.0,1.0,0.68,0.84,0.79,0.57,0.95,0.3,0.74,0.06,0.37,0.0,0.0,0.08,5
0.89,0.9,0.49,1.0,0.14,0.73,0.11,0.41,0.49,0.17,1.0,0.28,0.41,0.24,0.0,0.0,6
0.0,0.96,0.45,1.0,1.0,0.99,0.79,0.83,0.6,0.63,0.45,0.42,0.36,0.21,0.33,0.0,7
0.53,0.64,1.0,0.88,0.52,1.0,0.29,0.66,0.6,0.27,0.3,0.0,0.0,0.24,0.46,0.53,8
0.87,0.74,0.74,1.0,0.22,0.87,0.7,0.68,1.0,0.72,0.88,0.33,0.55,0.0,0.0,0.08,9
0.95,0.31,0.44,0.02,0.0,0.26,0.11,0.69,0.6,1.0,1.0,0.73,0.84,0.3,0.4,0.0,0
0.0,0.69,0.43,0.96,0.59,1.0,0.51,0.6,0.46,0.2,0.13,0.0,0.42,0.06,1.0,0.1,1
0.31,0.67,0.35,0.99,0.81,1.0,0.73,0.56,0.37,0.23,0.0,0.02,0.5,0.0,1.0,0.03,2
0.48,1.0,0.89,1.0,0.76,0.77,0.69,0.56,1.0,0.35,0.89,0.11,0.45,0.0,0.0,0.08,3
0.64,1.0,0.26,0.89,0.0,0.62,0.5,0.52,1.0,0.71,0.76,0.56,0.47,0.28,0.27,0.0,4
0.97,0.94,0.61,1.0,0.28,0.77,0.67,0.71,1.0,0.47,0.86,0.08,0.43,0.0,0.0,0.12,5
0.42,1.0,0.15,0.73,0.0,0.45,0.04,0.17,0.51,0.0,1.0,0.16,0.92,0.43,0.34,0.39,6
0.0,0.88,0.4,1.0,0.79,0.86,0.67,0.44,0.64,0.0,1.0,0.15,0.7,0.32,0.23,0.37,7
0.55,0.76,0.22,0.68,0.66,0.29,0.39,0.0,0.52,0.32,1.0,0.68,0.69,1.0,0.0,0.86,8
0.39,0.85,0.18,1.0,0.2,0.67,0.67,0.76,0.83,0.71,1.0,0.29,0.61,0.0,0.0,0.13,9
0.38,0.85,0.13,0.55,0.31,0.08,0.75,0.0,1.0,0.4,0.85,0.87,0.42,1.0,0.0,0.79,0
0.36,0.81,0.69,0.9,1.0,1.0,0.8,0.8,0.6,0.6,0.41,0.4,0.2,0.19,0.0,0.0,1
0.0,0.71,0.24,1.0,0.6,1.0,0.61,0.63,0.41,0.29,0.16,0.0,0.58,0.03,1.0,0.02,2
0.29,0.9,0.77,1.0,0.92,0.8,0.44,0.59,0.64,0.45,1.0,0.19,0.53,0.02,0.0,0.0,3
0.55,0.89,0.52,1.0,0.0,0.71,0.16,0.53,1.0,0.6,1.0,0.65,0.57,0.33,0.27,0.0,4
0.61,0.92,1.0,1.0,0.74,0.85,0.55,0.51,0.92,0.36,0.78,0.02,0.38,0.0,0.0,0.11,5
0.7,1.0,0.35,0.72,0.1,0.44,0.1,0.14,0.68,0.0,1.0,0.26,0.65,0.53,0.0,0.63,6
0.0,0.96,0.45,1.0,1.0,0.99,0.79,0.83,0.6,0.63,0.45,0.42,0.36,0.21,0.33,0.0,7
0.27,0.5,0.79,0.68,1.0,1.0,0.46,0.85,0.42,0.42,0.51,0.01,0.0,0.0,0.35,0.33,8
0.52,0.86,0.27,1.0,0.0,0.73,0.56,0.73,1.0,0.85,0.87,0.48,0.58,0.14,0.05,0.0,9
0.75,0.93,0.46,0.87,0.1,0.49,0.0,0.08,0.58,0.0,1.0,0.31,0.66,0.66,0.22,1.0,0
0.0,1.0,0.54,0.93,0.57,0.77,0.57,0.61,0.61,0.46,0.61,0.3,0.68,0.14,1.0,0.0,1
0.06,0.48,0.32,0.77,0.75,1.0,1.0,0.79,0.73,0.51,0.33,0.26,0.0,0.01,0.62,0.0,2
0.58,0.84,0.91,1.0,1.0,0.84,0.77,0.6,0.87,0.35,0.8,0.1,0.41,0.01,0.0,0.0,3
0.71,0.99,0.55,1.0,0.0,0.72,0.29,0.56,1.0,0.7,0.73,0.66,0.35,0.33,0.06,0.0,4
0.16,0.76,0.71,0.94,1.0,1.0,0.43,0.83,0.45,0.52,0.93,0.28,0.66,0.02,0.0,0.0,5
0.82,1.0,0.64,0.75,0.16,0.46,0.0,0.13,0.73,0.01,1.0,0.2,0.27,0.27,0.47,0.0,6
0.0,0.78,0.23,0.91,0.61,0.97,1.0,1.0,0.87,0.75,0.78,0.5,0.71,0.24,0.68,0.0,7
0.29,1.0,0.0,0.75,0.53,0.54,1.0,0.3,0.78,0.0,0.56,0.25,0.66,0.63,0.15,0.71,8
0.84,0.85,0.37,1.0,0.0,0.72,0.58,0.65,1.0,0.93,0.82,0.66,0.65,0.33,0.61,0.0,9
0.55,1.0,0.16,0.79,0.0,0.39,0.05,0.0,0.61,0.01,1.0,0.31,0.67,0.61,0.05,0.67,0
0.0,0.77,0.44,0.85,1.0,1.0,0.88,0.84,0.71,0.63,0.6,0.41,0.58,0.2,0.77,0.0,1
0.0,0.73,0.21,0.92,0.57,1.0,0.79,0.84,0.74,0.61,0.68,0.38,0.71,0.15,1.0,0.0,2
0.0,0.87,0.42,1.0,1.0,0.94,0.87,0.73,0.67,0.53,0.64,0.32,0.69,0.11,0.22,0.0,3
0.13,1.0,0.0,0.71,0.37,0.5,1.0,0.56,0.9,0.76,0.8,0.61,0.81,0.3,0.88,0.0,4
0.24,0.8,0.59,0.95,1.0,1.0,0.63,0.92,0.25,0.78,0.21,0.47,0.36,0.16,0.0,0.0,5
1.0,1.0,0.66,0.85,0.37,0.69,0.14,0.51,0.0,0.32,0.0,0.12,0.31,0.0,0.34,0.11,6
0.31,0.94,0.85,1.0,1.0,0.77,0.78,0.49,0.59,0.21,0.43,0.0,0.0,0.19,0.51,0.25,7
0.0,0.3,0.46,0.6,0.59,1.0,0.21,0.81,0.67,0.5,1.0,0.16,0.38,0.0,0.07,0.28,8
0.0,0.91,0.47,0.7,0.62,1.0,0.43,0.78,0.91,0.7,1.0,0.3,0.68,0.0,0.29,0.12,9
1.0,0.47,0.85,0.86,0.43,1.0,0.07,0.73,0.0,0.28,0.31,0.0,0.7,0.22,0.78,0.61,0
0.0,0.51,0.33,0.75,0.68,1.0,0.51,0.85,0.53,0.59,0.58,0.33,0.65,0.07,1.0,0.0,1
0.0,0.66,0.3,0.9,0.69,1.0,0.65,0.62,0.39,0.29,0.12,0.01,0.57,0.0,1.0,0.03,2
0.29,0.9,0.77,1.0,0.92,0.8,0.44,0.59,0.64,0.45,1.0,0.19,0.53,0.02,0.0,0.0,3
0.71,0.99,0.55,1.0,0.0,0.72,0.29,0.56,1.0,0.7,0.73,0.66,0.35,0.33,0.06,0.0,4
0.97,0.94,0.61,1.0,0.28,0.77,0.67,0.71,1.0,0.47,0.86,0.08,0.43,0.0,0.0,0.12,5
0.39,1.0,0.23,0.82,0.0,0.52,0.01,0.21,0.48,0.0,1.0,0.16,0.7,0.42,0.06,0.55,6
0.0,0.95,0.39,1.0,0.74,0.76,0.82,0.33,0.76,0.0,1.0,0.37,0.59,0.47,0.16,0.48,7
0.66,1.0,0.27,0.88,0.42,0.5,0.45,0.11,0.0,0.0,0.07,0.34,0.53,0.53,1.0,0.7,8
0.57,0.72,1.0,0.93,0.47,1.0,0.0,0.78,0.52,0.71,0.94,0.57,0.69,0.28,0.39,0.0,9
0.97,1.0,0.41,0.81,0.14,0.13,0.71,0.23,1.0,0.85,0.77,0.85,0.47,0.53,0.0,0.0,0
0.0,0.71,0.39,0.81,0.77,1.0,1.0,0.92,0.86,0.69,0.7,0.47,0.54,0.24,0.45,0.0,1
0.0,0.79,0.31,0.94,0.68,1.0,1.0,0.88,0.94,0.62,0.74,0.39,0.51,0.18,0.64,0.0,2
0.05,0.9,0.46,0.98,0.89,1.0,1.0,0.81,0.77,0.59,0.62,0.34,0.37,0.14,0.0,0.0,3
0.48,0.91,0.63,1.0,0.32,0.78,0.0,0.56,0.51,0.46,1.0,0.48,0.78,0.24,0.65,0.0,4
0.48,0.94,0.0,0.73,0.49,0.67,0.79,0.33,0.26,0.0,0.19,0.4,0.21,0.83,1.0,1.0,5
0.49,1.0,0.14,0.73,0.0,0.39,0.1,0.05,0.64,0.0,1.0,0.25,0.57,0.44,0.01,0.38,6
0.0,0.93,0.41,1.0,0.62,0.75,0.44,0.39,0.26,0.03,0.05,0.0,0.29,0.19,1.0,0.28,7
0.39,0.73,0.76,1.0,0.22,0.79,0.5,0.43,0.69,0.06,0.0,0.0,0.26,0.3,1.0,0.52,8
0.86,0.95,0.39,1.0,0.51,0.75,0.69,0.85,0.84,0.51,1.0,0.17,0.59,0.0,0.0,0.09,9
0.96,0.43,0.63,0.0,0.01,0.07,0.0,0.57,0.38,1.0,1.0,0.94,0.81,0.45,0.36,0.07,0
0.12,0.57,0.5,0.84,0.83,1.0,0.66,0.58,0.49,0.16,0.0,0.05,0.39,0.05,1.0,0.0,1
0.19,0.8,0.45,1.0,0.49,0.64,0.29,0.27,0.0,0.0,0.25,0.08,0.63,0.14,1.0,0.21,2
0.62,0.86,0.87,1.0,1.0,0.79,0.85,0.54,0.85,0.25,0.64,0.04,0.29,0.0,0.0,0.12,3
1.0,1.0,0.79,0.92,0.36,0.73,0.04,0.51,0.52,0.49,0.54,0.46,0.24,0.24,0.0,0.0,4
0.34,0.93,0.92,1.0,0.53,0.92,0.0,0.73,0.49,0.61,1.0,0.4,0.86,0.1,0.26,0.0,5
0.25,0.9,0.42,1.0,0.15,0.63,0.0,0.26,0.42,0.0,1.0,0.03,0.8,0.28,0.59,0.06,6
0.0,0.94,0.32,1.0,0.77,0.98,1.0,0.81,0.83,0.6,0.6,0.4,0.38,0.2,0.22,0.0,7
0.01,0.74,0.23,1.0,0.83,0.87,0.75,0.42,0.49,0.0,1.0,0.02,0.55,0.34,0.0,0.64,8
1.0,0.9,0.64,1.0,0.45,0.68,0.81,0.7,0.85,0.61,0.81,0.27,0.52,0.0,0.0,0.09,9
